uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"bfe3f418-591e-43a3-bb17-fbb00b5fbbf8",1653,"Network activity","ip-dst","147.182.202.179","",1,1697568704,"","","","",""
"ff776cc6-d9db-47c8-b31a-e9fde5eeed20",1653,"Network activity","ip-dst","147.182.241.81","",1,1697568704,"","","","",""
"ef82dd32-4dfd-4a23-8d09-358e3c97a442",1653,"Network activity","ip-dst","159.223.124.141","",1,1697568704,"","","","",""
"bf1c6ee0-6858-4010-910d-d4267ee53f76",1653,"Network activity","ip-dst","159.223.144.182","",1,1697568704,"","","","",""
"b10410b4-4c7b-4ae5-90f9-df098cb0766a",1653,"Network activity","ip-dst","159.223.148.108","",1,1697568704,"","","","",""
"76c41a57-6143-4557-a6ed-4c6459ccd4a2",1653,"Network activity","ip-dst","161.35.100.6","",1,1697568704,"","","","",""
"44adfc00-df72-4b35-b881-56d9acf2b3ad",1653,"Network activity","ip-dst","161.35.109.85","",1,1697568704,"","","","",""
"a9dd827f-626e-4f0d-b06c-0be66d2e6fe6",1653,"Network activity","ip-dst","161.35.150.151","",1,1697568704,"","","","",""
"c51f8ec8-8895-4c47-851b-0def6b1b446b",1653,"Network activity","ip-dst","161.35.20.245","",1,1697568704,"","","","",""
"5c20e5e5-7fd0-415f-9f7b-661fc0db1020",1653,"Network activity","ip-dst","161.35.52.129","",1,1697568704,"","","","",""
"01c91688-1679-4714-a5da-08f472145f1c",1653,"Network activity","ip-dst","161.35.62.151","",1,1697568704,"","","","",""
"db6b2791-5718-4c73-93cd-c2c69aad54ee",1653,"Network activity","ip-dst","164.90.212.81","",1,1697568704,"","","","",""
"273c12f9-f772-4947-9345-888427e6cdbd",1653,"Network activity","ip-dst","164.92.106.15","",1,1697568704,"","","","",""
